manga_id,title
2,Berserk
1706,JoJo no Kimyou na Bouken Part 7: Steel Ball Run
656,Vagabond
13,One Piece
162032,Guimi Zhi Zhu
1,Monster
147272,The Greatest Estate Developer
642,Vinland Saga
51,Slam Dunk
25,Fullmetal Alchemist
143441,Omniscient Reader's Viewpoint
70345,Grand Blue
130826,Tian Guan Cifu
16765,Kingdom
44489,Houseki no Kuni
657,Real
4632,Oyasumi Punpun
133431,Uma Musume Cinderella Gray
34053,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch
1303,Ashita no Joe
23751,Monogatari Series: Second Season
3,20th Century Boys
104,Yotsuba to!
14893,Monogatari Series: First Season
126479,Mikkakan no Koufuku
121405,Mo Dao Zu Shi
44227,Monogatari Series: Final Season
74697,Re:Zero kara Hajimeru Isekai Seikatsu
90125,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
126287,Sousou no Frieren
86769,Kusuriya no Hitorigoto
104039,86
56805,Koe no Katachi
1224,3-gatsu no Lion
35243,Haikyuu!!
336,GTO
140765,Tian Guan Cifu
7375,Kokou no Hito
178182,On the Way to Meet Mom
86119,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen
21525,Akatsuki no Yona
70261,Mushoku Tensei: Isekai Ittara Honki Dasu
9115,Ookami to Koushinryou
28,Nana
147769,No Home
85781,Dungeon Meshi
651,Kaze no Tani no Nausicaä
102875,Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari
129621,Medalist
132678,Veil
144267,Kaoru Hana wa Rin to Saku
26,Hunter x Hunter
100448,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de."
14483,Uchuu Kyoudai
45143,Kono Oto Tomare!
7,Hajime no Ippo
100035,Tongari Boushi no Atelier
40171,Yahari Ore no Seishun Love Comedy wa Machigatteiru.
89357,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e
72467,Shoujo Shuumatsu Ryokou
128365,Kimi to Tsuzuru Utakata
9726,Zaregoto Series
123992,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen
108177,Monogatari Series: Monster Season
26027,Mahoutsukai no Yoru
91941,Made in Abyss
418,Mushishi
145,Beck
9982,Usogui
23900,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch
118804,Ikoku Nikki
1859,Natsume Yuujinchou
44347,One Punch-Man
55215,Utsuro no Hako to Zero no Maria
178671,My Bias Gets on the Last Train
102256,Ao Ashi
107562,Kusuriya no Hitorigoto
117077,Kimi no Suizou wo Tabetai
1133,Dorohedoro
125036,The Horizon
21,Death Note
173266,Our Sunny Days
98930,Violet Evergarden
35513,Koten-bu Series
123006,Bungou Stray Dogs: Beast
24875,Shinyaku Toaru Majutsu no Index
85968,Golden Kamuy
132214,Omniscient Reader's Viewpoint
399,Kino no Tabi: The Beautiful World
88660,Yagate Kimi ni Naru
137200,Mo Dao Zu Shi
904,Kozure Ookami
70399,Seishun Buta Yarou Series
664,Akira
44,Gintama
4,Yokohama Kaidashi Kikou
81,Aria
145863,Sayonara Eri
6978,Ginga Eiyuu Densetsu
78523,ReLIFE
60783,Mob Psycho 100
116778,Chainsaw Man
61579,Tobaku Datenroku Kaiji: One Poker-hen
745,Pluto
81669,Overlord
145539,Seasons of Blossom
118289,Skip to Loafer
60553,Kono Subarashii Sekai ni Shukufuku wo!
756,Banana Fish
107931,Blue Period
1325,Hi no Tori
180916,Kimi ni Okuru Eien
37707,Shigatsu wa Kimi no Uso
13245,Chihayafuru
114043,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka"
698,Shinseiki Evangelion
11054,Billy Bat
92559,Diamond no Ace Act II
134744,The Legend of the Northern Blade
116312,19 Tian
103237,Wind Breaker
3006,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai
66517,Umineko no Naku Koro ni
93097,Monogatari Series: Off Season
2062,Kara no Kyoukai: The Garden of Sinners
137303,Hirayasumi
11514,Otoyomegatari
121496,Solo Leveling
79993,Umineko no Naku Koro ni Chiru
87844,The Fable
3031,Pandora Hearts
138533,Nan Hao Shang Feng
23390,Shingeki no Kyojin
33327,Tokyo Ghoul
172823,One-Room TA
170427,The Knight Only Lives Today
21498,Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch
39859,Steins;Gate
5744,Ping Pong
81211,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?
1342,Baccano!
610,Skip Beat!
214,Kidou Senshi Gundam: The Origin
3083,Suzumiya Haruhi Series
8157,Kamisama Hajimemashita
105084,Jibaku Shounen Hanako-kun
160303,Koori no Jouheki
164926,Webtoon Character Na Kang Lim
11327,One Outs
101396,Sasaki to Miyano
85719,Blue Giant
117851,Shimeji Simulation
142310,Amayo no Tsuki
102,Fruits Basket
22,Rurouni Kenshin: Meiji Kenkaku Romantan
180207,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 3-nensei-hen
159387,Mushoku Tensei: Dasoku-hen
3649,Fate/Zero
147448,After School Lessons for Unripe Apples
147171,Eleceed
21499,Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch
104538,Kimi no Suizou wo Tabetai
115506,Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite
28393,Sakamichi no Apollon
30,Ouran Koukou Host Club
18200,Sotsugyousei
133641,Villains Are Destined to Die
11734,Watashitachi no Shiawase na Jikan
25515,JoJo no Kimyou na Bouken Part 8: JoJolion
6812,Kyou kara Ore wa!!
38071,Spirit Circle
79085,Given
113010,Bakemonogatari
1469,Glass no Kamen
141120,The Boxer
123649,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken
124374,Souyaku Toaru Majutsu no Index
167788,Xiao Mogu
162964,Mayonaka Heart Tune
115922,Kage no Jitsuryokusha ni Naritakute!
110771,Toshokan no Daimajutsushi
44307,Kakukaku Shikajika
88639,"Ohayou, Ibarahime"
136103,Haruka Tooki Ie
1183,Cross Game
121504,Yubisaki to Renren
146878,Return of the Blossoming Blade
143325,Lost in the Cloud
112370,Spirit Fingers
14720,Honto Yajuu
36413,Hinamatsuri
4658,Fullmetal Alchemist
46282,Chikan Otoko
3299,Ookami to Koushinryou
77597,Adachi to Shimamura
87397,Shiori Experience: Jimi na Watashi to Hen na Ojisan
87610,Tensei shitara Slime Datta Ken
92299,Berserk: Shinen no Kami 2
56529,Bungou Stray Dogs
7482,Rainbow: Nisha Rokubou no Shichinin
119072,Here U Are
138406,"Natsu e no Tunnel, Sayonara no Deguchi"
93753,Vanitas no Karte
3572,Tobaku Mokushiroku Kaiji
121269,Who Made Me a Princess
100323,Yuukoku no Moriarty
119279,Hirano to Kagiura
112988,blanc
97244,Shimanami Tasogare
111213,Bastard
7519,Kami nomi zo Shiru Sekai
42001,Song of the Long March
43,Eyeshield 21
119161,Spy x Family
88930,Youjo Senki
147585,Sensou Kyoushitsu
28449,Saezuru Tori wa Habatakanai
17051,Barakamon
1032,Doraemon
42,Dragon Ball
3573,Tobaku Hakairoku Kaiji
166372,Love Bullet
3285,Holyland
138673,Look Back
974,Basara
184875,Reunion
26728,No.6
29211,Gekkan Shoujo Nozaki-kun
83903,Fate/strange Fake
131338,Whale Star: The Gyeongseong Mermaid
743,21st Century Boys
